Activity,Date,Duration
Meetings,2015-12-03,0.5
Meetings,2015-12-04,1.0
Meetings,2015-12-05,0
Meetings,2015-12-06,0
Meetings,2015-12-07,8.0
Meetings,2015-12-08,16.0
Meetings,2015-12-09,12.0
Meetings,2015-12-10,10.5
Meetings,2015-12-11,1.0
Meetings,2015-12-12,0
Meetings,2015-12-13,0.5
Meetings,2015-12-14,1.0
Meetings,2015-12-15,1.0
Meetings,2015-12-16,1.0
Meetings,2015-12-17,0.75
Meetings,2015-12-18,0.75
Meetings,2015-12-19,0
Meetings,2015-12-20,0
Meetings,2015-12-21,0.75
Meetings,2015-12-22,0.75
Meetings,2015-12-23,0.75
Meetings,2015-12-24,0
Meetings,2015-12-25,0
Meetings,2015-12-26,0
Meetings,2015-12-27,0
Meetings,2015-12-28,0.5
Meetings,2015-12-29,0.5
Meetings,2015-12-30,0.5
Meetings,2015-12-31,0.5
Meetings,2016-01-01,0
Meetings,2016-01-02,0
Meetings,2016-01-03,0
Meetings,2016-01-04,2.5
Non-Technical Work,2015-12-03,4.5
Non-Technical Work,2015-12-04,2.0
Non-Technical Work,2015-12-05,0
Non-Technical Work,2015-12-06,0
Non-Technical Work,2015-12-07,0
Non-Technical Work,2015-12-08,1.25
Non-Technical Work,2015-12-09,5.0
Non-Technical Work,2015-12-10,6.5
Non-Technical Work,2015-12-11,3.0
Non-Technical Work,2015-12-12,9.25
Non-Technical Work,2015-12-13,8.5
Non-Technical Work,2015-12-14,0
Non-Technical Work,2015-12-15,1.0
Non-Technical Work,2015-12-16,0
Non-Technical Work,2015-12-17,0
Non-Technical Work,2015-12-18,0
Non-Technical Work,2015-12-19,0
Non-Technical Work,2015-12-20,0
Non-Technical Work,2015-12-21,1.5
Non-Technical Work,2015-12-22,0
Non-Technical Work,2015-12-23,3.5
Non-Technical Work,2015-12-24,1.5
Non-Technical Work,2015-12-25,1.5
Non-Technical Work,2015-12-26,9.5
Personal,2015-12-03,4.25
Personal,2015-12-04,4.0
Personal,2015-12-05,8.5
Personal,2015-12-06,9.0
Personal,2015-12-07,0
Personal,2015-12-08,0.75
Personal,2015-12-09,0.5
Personal,2015-12-10,0.5
Personal,2015-12-11,1.0
Personal,2015-12-12,7.0
Personal,2015-12-13,6.0
Personal,2015-12-14,4.0
Personal,2015-12-15,3.5
Personal,2015-12-16,3.5
Personal,2015-12-17,6.75
Personal,2015-12-18,12.0
Personal,2015-12-19,5.5
Personal,2015-12-20,15.0
Personal,2015-12-21,15.0
Personal,2015-12-22,7.0
Personal,2015-12-23,9.25
Personal,2015-12-24,15.5
Personal,2015-12-25,15.25
Personal,2015-12-26,7.5
Personal,2015-12-27,2.5
Personal,2015-12-28,3.5
Personal,2015-12-29,3.0
Personal,2015-12-30,2.25
Personal,2015-12-31,2.75
Personal,2016-01-01,1.5
Personal,2016-01-02,2.0
Personal,2016-01-03,5.25
