Activity,Date,Duration
Discussion,2015-11-02,13.0
Discussion,2015-11-03,4.5
Discussion,2015-11-04,14.0
Discussion,2015-11-05,11.5
Discussion,2015-11-06,12.5
Discussion,2015-11-07,4.25
Discussion,2015-11-08,2.75
Discussion,2015-11-09,8.0
Discussion,2015-11-10,8.5
Discussion,2015-11-11,7.5
Discussion,2015-11-12,7.5
Discussion,2015-11-13,2.25
Discussion,2015-11-14,0
Discussion,2015-11-15,0
Discussion,2015-11-16,0
Discussion,2015-11-17,7.5
Discussion,2015-11-18,9.75
Discussion,2015-11-19,10.0
Discussion,2015-11-20,4.0
Discussion,2015-11-21,0
Discussion,2015-11-22,0.25
Discussion,2015-11-23,2.0
Discussion,2015-11-24,2.0
Discussion,2015-11-25,3.5
Discussion,2015-11-26,1.0
Discussion,2015-11-27,2.0
Discussion,2015-11-28,0
Discussion,2015-11-29,0
Discussion,2015-11-30,2.0
Discussion,2015-12-01,2.25
Discussion,2015-12-02,1.0
Discussion,2015-12-03,0.5
Discussion,2015-12-04,1.0
Discussion,2015-12-05,0
Discussion,2015-12-06,0
Discussion,2015-12-07,8.0
Discussion,2015-12-08,16.0
Discussion,2015-12-09,12.0
Discussion,2015-12-10,10.5
Discussion,2015-12-11,1.0
Discussion,2015-12-12,0
Discussion,2015-12-13,0.5
Discussion,2015-12-14,1.0
Discussion,2015-12-15,1.0
Discussion,2015-12-16,1.0
Discussion,2015-12-17,0.75
Discussion,2015-12-18,0.75
Discussion,2015-12-19,0
Discussion,2015-12-20,0
Discussion,2015-12-21,0.75
Discussion,2015-12-22,0.75
Discussion,2015-12-23,0.75
Discussion,2015-12-24,0
Discussion,2015-12-25,0
Discussion,2015-12-26,0
Discussion,2015-12-27,0
Discussion,2015-12-28,0.5
Discussion,2015-12-29,0.5
Discussion,2015-12-30,0.5
Discussion,2015-12-31,0.5
Discussion,2016-01-01,0
Discussion,2016-01-02,0
Discussion,2016-01-03,0
Discussion,2016-01-04,2.5
Discussion,2016-01-05,0
Discussion,2016-01-06,0
Discussion,2016-01-07,0
Discussion,2016-01-08,0
Discussion,2016-01-09,0
Discussion,2016-01-10,0
Discussion,2016-01-11,7.5
Discussion,2016-01-12,8.0
Discussion,2016-01-13,12.0
Discussion,2016-01-14,0
Discussion,2016-01-15,5.0
Discussion,2016-01-16,0
Discussion,2016-01-17,0
Discussion,2016-01-18,0
Discussion,2016-01-19,3.5
Discussion,2016-01-20,10.0
Discussion,2016-01-21,0
Discussion,2016-01-22,0.75
Discussion,2016-01-23,0
Discussion,2016-01-24,0
Discussion,2016-01-25,1.5
Discussion,2016-01-26,0
Discussion,2016-01-27,0.5
Discussion,2016-01-28,0
Discussion,2016-01-29,0
Discussion,2016-01-30,0
Discussion,2016-01-31,3.5
Exercise,2015-11-06,1.5
Exercise,2015-11-07,0
Exercise,2015-11-08,0
Exercise,2015-11-09,0
Exercise,2015-11-10,0
Exercise,2015-11-11,0
Exercise,2015-11-12,0
Exercise,2015-11-13,0
Exercise,2015-11-14,0
Exercise,2015-11-15,0
Exercise,2015-11-16,0
Exercise,2015-11-17,0
Exercise,2015-11-18,0
Exercise,2015-11-19,0
Exercise,2015-11-20,0
Exercise,2015-11-21,0
Exercise,2015-11-22,0
Exercise,2015-11-23,0
Exercise,2015-11-24,0
Exercise,2015-11-25,0
Exercise,2015-11-26,2.0
Non-Technical Work,2015-11-02,5.5
Non-Technical Work,2015-11-03,13.5
Non-Technical Work,2015-11-04,3.5
Non-Technical Work,2015-11-05,5.5
Non-Technical Work,2015-11-06,3.5
Non-Technical Work,2015-11-07,12.5
Non-Technical Work,2015-11-08,15.0
Non-Technical Work,2015-11-09,8.5
Non-Technical Work,2015-11-10,7.25
Non-Technical Work,2015-11-11,10.5
