Activity,Date,Duration,Free Time,Holiday
Discussion,2015-11-26,1.0,nan,Thanksgiving
Exercise,2015-11-26,2.0,Free Time,Thanksgiving
Non-Technical Work,2015-11-26,9.0,nan,Thanksgiving
Personal,2015-11-26,3.25,Free Time,Thanksgiving
Sleep,2015-11-26,4.0,nan,Thanksgiving
Technical Work,2015-11-26,4.75,nan,Thanksgiving
Travel,2015-11-26,0,Free Time,Thanksgiving
Discussion,2015-12-25,0,nan,Christmas
Non-Technical Work,2015-12-25,1.5,nan,Christmas
Personal,2015-12-25,15.25,Free Time,Christmas
Sleep,2015-12-25,6.25,nan,Christmas
Technical Work,2015-12-25,1.0,nan,Christmas
Travel,2015-12-25,0,Free Time,Christmas
Discussion,2015-12-31,0.5,nan,New Years Eve
Non-Technical Work,2015-12-31,0,nan,New Years Eve
Personal,2015-12-31,2.75,Free Time,New Years Eve
Sleep,2015-12-31,5.5,nan,New Years Eve
Technical Work,2015-12-31,15.25,nan,New Years Eve
Travel,2015-12-31,0,Free Time,New Years Eve
