Activity,Date,Duration
Exercise,2015-11-06,1.5
Exercise,2015-11-07,0
Exercise,2015-11-08,0
Exercise,2015-11-09,0
Exercise,2015-11-10,0
Exercise,2015-11-11,0
Exercise,2015-11-12,0
Exercise,2015-11-13,0
Exercise,2015-11-14,0
Exercise,2015-11-15,0
Exercise,2015-11-16,0
Exercise,2015-11-17,0
Exercise,2015-11-18,0
Exercise,2015-11-19,0
Exercise,2015-11-20,0
Exercise,2015-11-21,0
Exercise,2015-11-22,0
Exercise,2015-11-23,0
Exercise,2015-11-24,0
Exercise,2015-11-25,0
Exercise,2015-11-26,2.0
Meetings,2015-11-02,13.0
Meetings,2015-11-03,4.5
Meetings,2015-11-04,14.0
Meetings,2015-11-05,11.5
Meetings,2015-11-06,12.5
Meetings,2015-11-07,4.25
Meetings,2015-11-08,2.75
Meetings,2015-11-09,8.0
Meetings,2015-11-10,8.5
Meetings,2015-11-11,7.5
Meetings,2015-11-12,7.5
Meetings,2015-11-13,2.25
Meetings,2015-11-14,0
Meetings,2015-11-15,0
Meetings,2015-11-16,0
Meetings,2015-11-17,7.5
Meetings,2015-11-18,9.75
Meetings,2015-11-19,10.0
Meetings,2015-11-20,4.0
Meetings,2015-11-21,0
Meetings,2015-11-22,0.25
Meetings,2015-11-23,2.0
Meetings,2015-11-24,2.0
Meetings,2015-11-25,3.5
Meetings,2015-11-26,1.0
Meetings,2015-11-27,2.0
Meetings,2015-11-28,0
Meetings,2015-11-29,0
Meetings,2015-11-30,2.0
Meetings,2015-12-01,2.25
Meetings,2015-12-02,1.0
Non-Technical Work,2015-11-02,5.5
Non-Technical Work,2015-11-03,13.5
Non-Technical Work,2015-11-04,3.5
Non-Technical Work,2015-11-05,5.5
Non-Technical Work,2015-11-06,3.5
Non-Technical Work,2015-11-07,12.5
Non-Technical Work,2015-11-08,15.0
Non-Technical Work,2015-11-09,8.5
Non-Technical Work,2015-11-10,7.25
Non-Technical Work,2015-11-11,10.5
Non-Technical Work,2015-11-12,8.0
Non-Technical Work,2015-11-13,7.75
Non-Technical Work,2015-11-14,3.0
Non-Technical Work,2015-11-15,6.75
Non-Technical Work,2015-11-16,7.0
Non-Technical Work,2015-11-17,7.5
Non-Technical Work,2015-11-18,7.25
Non-Technical Work,2015-11-19,9.0
Non-Technical Work,2015-11-20,12.0
Non-Technical Work,2015-11-21,8.5
Non-Technical Work,2015-11-22,16.25
Non-Technical Work,2015-11-23,15.5
Non-Technical Work,2015-11-24,13.0
Non-Technical Work,2015-11-25,12.25
Non-Technical Work,2015-11-26,9.0
Non-Technical Work,2015-11-27,14.0
Non-Technical Work,2015-11-28,14.0
Non-Technical Work,2015-11-29,11.25
Non-Technical Work,2015-11-30,14.0
Non-Technical Work,2015-12-01,14.0
Non-Technical Work,2015-12-02,14.75
Personal,2015-11-02,1.0
Personal,2015-11-03,1.0
Personal,2015-11-04,0
Personal,2015-11-05,1.0
Personal,2015-11-06,1.5
Personal,2015-11-07,1.0
Personal,2015-11-08,0.5
Personal,2015-11-09,1.25
Personal,2015-11-10,1.25
Personal,2015-11-11,0.5
Personal,2015-11-12,3.0
Personal,2015-11-13,3.75
Personal,2015-11-14,12.25
Personal,2015-11-15,10.0
Personal,2015-11-16,10.75
Personal,2015-11-17,1.0
Personal,2015-11-18,1.0
Personal,2015-11-19,0
Personal,2015-11-20,0
Personal,2015-11-21,7.0
Personal,2015-11-22,2.5
Personal,2015-11-23,2.0
Personal,2015-11-24,2.5
Personal,2015-11-25,3.75
Personal,2015-11-26,3.25
Personal,2015-11-27,2.5
Personal,2015-11-28,5.0
Personal,2015-11-29,6.0
Personal,2015-11-30,2.0
Personal,2015-12-01,2.75
Personal,2015-12-02,3.25
Sleep,2015-11-02,4.5
Sleep,2015-11-03,5.0
Sleep,2015-11-04,6.5
Sleep,2015-11-05,5.5
Sleep,2015-11-06,5.0
Sleep,2015-11-07,6.25
Sleep,2015-11-08,5.75
Sleep,2015-11-09,6.25
Sleep,2015-11-10,7.0
Sleep,2015-11-11,5.5
Sleep,2015-11-12,5.5
Sleep,2015-11-13,5.75
Sleep,2015-11-14,8.75
Sleep,2015-11-15,7.25
Sleep,2015-11-16,5.75
Sleep,2015-11-17,1.0
Sleep,2015-11-18,6.0
Sleep,2015-11-19,5.0
Sleep,2015-11-20,6.5
Sleep,2015-11-21,6.0
Sleep,2015-11-22,5.0
Sleep,2015-11-23,4.5
Sleep,2015-11-24,6.5
Sleep,2015-11-25,4.5
Sleep,2015-11-26,4.0
Sleep,2015-11-27,5.5
Sleep,2015-11-28,5.0
Sleep,2015-11-29,6.75
Sleep,2015-11-30,6.0
Sleep,2015-12-01,5.0
Sleep,2015-12-02,5.0
Technical Work,2015-11-05,0.5
Technical Work,2015-11-06,0
Technical Work,2015-11-07,0
Technical Work,2015-11-08,0
Technical Work,2015-11-09,0
Technical Work,2015-11-10,0
Technical Work,2015-11-11,0
Technical Work,2015-11-12,0
Technical Work,2015-11-13,0
Technical Work,2015-11-14,0
Technical Work,2015-11-15,0
Technical Work,2015-11-16,0
Technical Work,2015-11-17,0
Technical Work,2015-11-18,0
Technical Work,2015-11-19,0
Technical Work,2015-11-20,0
Technical Work,2015-11-21,0
Technical Work,2015-11-22,0
Technical Work,2015-11-23,0
Technical Work,2015-11-24,0
Technical Work,2015-11-25,0
Technical Work,2015-11-26,4.75
Travel,2015-11-13,4.5
Travel,2015-11-14,0
Travel,2015-11-15,0
Travel,2015-11-16,0.5
Travel,2015-11-17,7.0
Travel,2015-11-18,0
Travel,2015-11-19,0
Travel,2015-11-20,1.5
Travel,2015-11-21,2.5
