Title,Start,End,Duration
Sleep,11/2/15 0:00,11/2/15 4:30,4:30
Personal,11/2/15 4:30,11/2/15 5:30,1:00
Non-Technical Work,11/2/15 5:30,11/2/15 8:00,2:30
Meetings,11/2/15 8:00,11/2/15 14:30,6:30
Non-Technical Work,11/2/15 14:30,11/2/15 16:00,1:30
Meetings,11/2/15 16:00,11/2/15 22:30,6:30
Non-Technical Work,11/2/15 22:30,11/3/15 0:00,1:30
Sleep,11/3/15 0:00,11/3/15 4:30,4:30
Personal,11/3/15 4:30,11/3/15 5:30,1:00
Non-Technical Work,11/3/15 5:30,11/3/15 19:00,13:30
Meetings,11/3/15 19:00,11/3/15 23:30,4:30
Sleep,11/3/15 23:30,11/4/15 0:00,0:30
Sleep,11/4/15 0:00,11/4/15 5:30,5:30
Non-Technical Work,11/4/15 5:30,11/4/15 8:00,2:30
Meetings,11/4/15 8:00,11/4/15 10:00,2:00
Non-Technical Work,11/4/15 10:00,11/4/15 11:00,1:00
Meetings,11/4/15 11:00,11/4/15 21:30,10:30
Meetings,11/4/15 21:30,11/4/15 23:00,1:30
Sleep,11/4/15 23:00,11/5/15 0:00,1:00
Sleep,11/5/15 0:00,11/5/15 4:30,4:30
Personal,11/5/15 4:30,11/5/15 5:30,1:00
Non-Technical Work,11/5/15 5:30,11/5/15 8:00,2:30
Meetings,11/5/15 8:00,11/5/15 9:00,1:00
Non-Technical Work,11/5/15 9:00,11/5/15 11:00,2:00
Meetings,11/5/15 11:00,11/5/15 15:30,4:30
Technical Work,11/5/15 15:30,11/5/15 16:00,0:30
Non-Technical Work,11/5/15 16:00,11/5/15 17:00,1:00
Meetings,11/5/15 17:00,11/5/15 18:30,1:30
Meetings,11/5/15 18:30,11/5/15 23:00,4:30
Sleep,11/5/15 23:00,11/6/15 0:00,1:00
Sleep,11/6/15 0:00,11/6/15 4:30,4:30
Exercise,11/6/15 4:30,11/6/15 6:00,1:30
Personal,11/6/15 6:00,11/6/15 7:00,1:00
Non-Technical Work,11/6/15 7:00,11/6/15 8:00,1:00
Meetings,11/6/15 8:00,11/6/15 15:30,7:30
Non-Technical Work,11/6/15 15:30,11/6/15 18:00,2:30
Meetings,11/6/15 18:00,11/6/15 23:00,5:00
Personal,11/6/15 23:00,11/6/15 23:30,0:30
Sleep,11/6/15 23:30,11/7/15 0:00,0:30
Sleep,11/7/15 0:00,11/7/15 5:00,5:00
Personal,11/7/15 5:00,11/7/15 5:30,0:30
Non-Technical Work,11/7/15 5:30,11/7/15 18:00,12:30
Meetings,11/7/15 18:00,11/7/15 22:15,4:15
Personal,11/7/15 22:15,11/7/15 22:45,0:30
Sleep,11/7/15 22:45,11/8/15 0:00,1:15
Sleep,11/8/15 0:00,11/8/15 5:00,5:00
Non-Technical Work,11/8/15 5:00,11/8/15 20:00,15:00
Meetings,11/8/15 20:00,11/8/15 22:45,2:45
Personal,11/8/15 22:45,11/8/15 23:15,0:30
Sleep,11/8/15 23:15,11/9/15 0:00,0:45
Sleep,11/9/15 0:00,11/9/15 4:45,4:45
Personal,11/9/15 4:45,11/9/15 5:30,0:45
Non-Technical Work,11/9/15 5:30,11/9/15 8:00,2:30
Meetings,11/9/15 8:00,11/9/15 10:00,2:00
Non-Technical Work,11/9/15 10:00,11/9/15 11:30,1:30
Meetings,11/9/15 11:30,11/9/15 13:15,1:45
Non-Technical Work,11/9/15 13:15,11/9/15 13:45,0:30
Meetings,11/9/15 13:45,11/9/15 16:00,2:15
Non-Technical Work,11/9/15 16:00,11/9/15 20:00,4:00
Meetings,11/9/15 20:00,11/9/15 22:00,2:00
Personal,11/9/15 22:00,11/9/15 22:30,0:30
Sleep,11/9/15 22:30,11/10/15 0:00,1:30
