"Title","Start","End","Duration"
"Sleep","11/02/2015 00:00","11/02/2015 04:30","04:30"
"Personal","11/02/2015 04:30","11/02/2015 05:30","01:00"
"Non-Technical Work","11/02/2015 05:30","11/02/2015 08:00","02:30"
"Meetings","11/02/2015 08:00","11/02/2015 14:30","06:30"
"Non-Technical Work","11/02/2015 14:30","11/02/2015 16:00","01:30"
"Meetings","11/02/2015 16:00","11/02/2015 22:30","06:30"
"Non-Technical Work","11/02/2015 22:30","11/03/2015 00:00","01:30"
"Sleep","11/03/2015 00:00","11/03/2015 04:30","04:30"
"Personal","11/03/2015 04:30","11/03/2015 05:30","01:00"
"Non-Technical Work","11/03/2015 05:30","11/03/2015 19:00","13:30"
"Meetings","11/03/2015 19:00","11/03/2015 23:30","04:30"
"Sleep","11/03/2015 23:30","11/04/2015 00:00","00:30"
"Sleep","11/04/2015 00:00","11/04/2015 05:30","05:30"
"Non-Technical Work","11/04/2015 05:30","11/04/2015 08:00","02:30"
"Meetings","11/04/2015 08:00","11/04/2015 10:00","02:00"
"Non-Technical Work","11/04/2015 10:00","11/04/2015 11:00","01:00"
"Meetings","11/04/2015 11:00","11/04/2015 21:30","10:30"
"Meetings","11/04/2015 21:30","11/04/2015 23:00","01:30"
"Sleep","11/04/2015 23:00","11/05/2015 00:00","01:00"
"Sleep","11/05/2015 00:00","11/05/2015 04:30","04:30"
"Personal","11/05/2015 04:30","11/05/2015 05:30","01:00"
"Non-Technical Work","11/05/2015 05:30","11/05/2015 08:00","02:30"
"Meetings","11/05/2015 08:00","11/05/2015 09:00","01:00"
"Non-Technical Work","11/05/2015 09:00","11/05/2015 11:00","02:00"
"Meetings","11/05/2015 11:00","11/05/2015 15:30","04:30"
"Technical Work","11/05/2015 15:30","11/05/2015 16:00","00:30"
"Non-Technical Work","11/05/2015 16:00","11/05/2015 17:00","01:00"
"Meetings","11/05/2015 17:00","11/05/2015 18:30","01:30"
"Meetings","11/05/2015 18:30","11/05/2015 23:00","04:30"
"Sleep","11/05/2015 23:00","11/06/2015 00:00","01:00"
"Sleep","11/06/2015 00:00","11/06/2015 04:30","04:30"
"Exercise","11/06/2015 04:30","11/06/2015 06:00","01:30"
"Personal","11/06/2015 06:00","11/06/2015 07:00","01:00"
"Non-Technical Work","11/06/2015 07:00","11/06/2015 08:00","01:00"
"Meetings","11/06/2015 08:00","11/06/2015 15:30","07:30"
"Non-Technical Work","11/06/2015 15:30","11/06/2015 18:00","02:30"
"Meetings","11/06/2015 18:00","11/06/2015 23:00","05:00"
"Personal","11/06/2015 23:00","11/06/2015 23:30","00:30"
"Sleep","11/06/2015 23:30","11/07/2015 00:00","00:30"
"Sleep","11/07/2015 00:00","11/07/2015 05:00","05:00"
"Personal","11/07/2015 05:00","11/07/2015 05:30","00:30"
"Non-Technical Work","11/07/2015 05:30","11/07/2015 18:00","12:30"
"Meetings","11/07/2015 18:00","11/07/2015 22:15","04:15"
"Personal","11/07/2015 22:15","11/07/2015 22:45","00:30"
"Sleep","11/07/2015 22:45","11/08/2015 00:00","01:15"
"Sleep","11/08/2015 00:00","11/08/2015 05:00","05:00"
"Non-Technical Work","11/08/2015 05:00","11/08/2015 20:00","15:00"
"Meetings","11/08/2015 20:00","11/08/2015 22:45","02:45"
"Personal","11/08/2015 22:45","11/08/2015 23:15","00:30"
"Sleep","11/08/2015 23:15","11/09/2015 00:00","00:45"
"Sleep","11/09/2015 00:00","11/09/2015 04:45","04:45"
"Personal","11/09/2015 04:45","11/09/2015 05:30","00:45"
"Non-Technical Work","11/09/2015 05:30","11/09/2015 08:00","02:30"
"Meetings","11/09/2015 08:00","11/09/2015 10:00","02:00"
"Non-Technical Work","11/09/2015 10:00","11/09/2015 11:30","01:30"
"Meetings","11/09/2015 11:30","11/09/2015 13:15","01:45"
"Non-Technical Work","11/09/2015 13:15","11/09/2015 13:45","00:30"
"Meetings","11/09/2015 13:45","11/09/2015 16:00","02:15"
"Non-Technical Work","11/09/2015 16:00","11/09/2015 20:00","04:00"
"Meetings","11/09/2015 20:00","11/09/2015 22:00","02:00"
"Personal","11/09/2015 22:00","11/09/2015 22:30","00:30"
"Sleep","11/09/2015 22:30","11/10/2015 00:00","01:30"
"Sleep","11/10/2015 00:00","11/10/2015 05:45","05:45"
"Non-Technical Work","11/10/2015 05:45","11/10/2015 08:00","02:15"
"Meetings","11/10/2015 08:00","11/10/2015 08:15","00:15"
"Non-Technical Work","11/10/2015 08:15","11/10/2015 10:00","01:45"
"Non-Technical Work","11/10/2015 10:00","11/10/2015 11:30","01:30"
"Meetings","11/10/2015 11:30","11/10/2015 16:00","04:30"
"Meetings","11/10/2015 16:00","11/10/2015 17:45","01:45"
"Non-Technical Work","11/10/2015 17:45","11/10/2015 19:30","01:45"
"Meetings","11/10/2015 19:30","11/10/2015 21:30","02:00"
"Personal","11/10/2015 21:30","11/10/2015 22:45","01:15"
"Sleep","11/10/2015 22:45","11/11/2015 00:00","01:15"
"Sleep","11/11/2015 00:00","11/11/2015 05:00","05:00"
"Non-Technical Work","11/11/2015 05:00","11/11/2015 08:00","03:00"
"Meetings","11/11/2015 08:00","11/11/2015 10:30","02:30"
"Non-Technical Work","11/11/2015 10:30","11/11/2015 16:00","05:30"
"Meetings","11/11/2015 16:00","11/11/2015 17:30","01:30"
"Non-Technical Work","11/11/2015 17:30","11/11/2015 19:30","02:00"
"Meetings","11/11/2015 19:30","11/11/2015 23:00","03:30"
"Personal","11/11/2015 23:00","11/11/2015 23:30","00:30"
"Sleep","11/11/2015 23:30","11/12/2015 00:00","00:30"
"Sleep","11/12/2015 00:00","11/12/2015 04:45","04:45"
"Personal","11/12/2015 04:45","11/12/2015 05:30","00:45"
"Non-Technical Work","11/12/2015 05:30","11/12/2015 08:00","02:30"
"Meetings","11/12/2015 08:00","11/12/2015 09:30","01:30"
"Non-Technical Work","11/12/2015 09:30","11/12/2015 14:15","04:45"
"Meetings","11/12/2015 14:15","11/12/2015 14:45","00:30"
"Non-Technical Work","11/12/2015 14:45","11/12/2015 15:30","00:45"
"Meetings","11/12/2015 15:30","11/12/2015 21:00","05:30"
"Personal","11/12/2015 21:00","11/12/2015 22:45","01:45"
"Personal","11/12/2015 22:45","11/12/2015 23:15","00:30"
"Sleep","11/12/2015 23:15","11/13/2015 00:00","00:45"
"Sleep","11/13/2015 00:00","11/13/2015 05:00","05:00"
"Non-Technical Work","11/13/2015 05:00","11/13/2015 08:00","03:00"
"Meetings","11/13/2015 08:00","11/13/2015 08:30","00:30"
"Non-Technical Work","11/13/2015 08:30","11/13/2015 09:00","00:30"
"Meetings","11/13/2015 09:00","11/13/2015 10:15","01:15"
"Non-Technical Work","11/13/2015 10:15","11/13/2015 12:15","02:00"
"Meetings","11/13/2015 12:15","11/13/2015 12:45","00:30"
"Non-Technical Work","11/13/2015 12:45","11/13/2015 13:15","00:30"
"Travel","11/13/2015 13:15","11/13/2015 13:45","00:30"
"Non-Technical Work","11/13/2015 13:45","11/13/2015 15:30","01:45"
"Travel","11/13/2015 15:30","11/13/2015 19:30","04:00"
"Personal","11/13/2015 19:30","11/13/2015 23:15","03:45"
"Sleep","11/13/2015 23:15","11/14/2015 00:00","00:45"
"Sleep","11/14/2015 00:00","11/14/2015 08:00","08:00"
"Non-Technical Work","11/14/2015 08:00","11/14/2015 11:00","03:00"
"Personal","11/14/2015 11:00","11/14/2015 22:45","11:45"
"Personal","11/14/2015 22:45","11/14/2015 23:15","00:30"
"Sleep","11/14/2015 23:15","11/15/2015 00:00","00:45"
"Sleep","11/15/2015 00:00","11/15/2015 06:30","06:30"
"Non-Technical Work","11/15/2015 06:30","11/15/2015 08:15","01:45"
"Personal","11/15/2015 08:15","11/15/2015 13:00","04:45"
"Non-Technical Work","11/15/2015 13:00","11/15/2015 18:00","05:00"
"Personal","11/15/2015 18:00","11/15/2015 22:45","04:45"
"Personal","11/15/2015 22:45","11/15/2015 23:15","00:30"
"Sleep","11/15/2015 23:15","11/16/2015 00:00","00:45"
"Sleep","11/16/2015 00:00","11/16/2015 05:00","05:00"
"Non-Technical Work","11/16/2015 05:00","11/16/2015 07:00","02:00"
"Personal","11/16/2015 07:00","11/16/2015 13:00","06:00"
